YearValue,HydroID,Rain
1997,362779,695.6231392
1998,362779,863.4534685
1999,362779,1172.827923
2000,362779,1182.284647
2001,362779,1067.600461
2002,362779,1008.735651
2003,362779,833.2777815
2004,362779,733.42819
2005,362779,578.2619758
2006,362779,958.7176193
2007,362779,851.9338899
2008,362779,1002.747528
2009,362779,848.4786777
2010,362779,730.129525
2015,363172,753.1708493
2016,363172,797.5880936
2017,363172,679.5509527
2018,363172,939.8672907
1990,363216,647.4671087
1991,363216,713.2158905
1992,363216,730.3534911
1993,363216,782.4848589
1994,363216,1085.092992
1995,363216,821.1933582
1996,363216,691.629895
1997,363216,695.8651692
1998,363216,861.7718028
1999,363216,1147.736663
2000,363216,1167.624118
2001,363216,1057.373062
2002,363216,994.0357853
2003,363216,819.914073
2004,363216,725.5946248
2005,363216,574.6994322
2006,363216,950.2993443
2007,363216,839.2359596
2008,363216,998.6617932
2009,363216,848.7091134
2010,363216,732.3968419
2011,363216,742.9862102
2012,363216,873.392957
2013,362564,873.8967054
2014,362564,1072.662133
2015,362564,778.2827968
2016,362564,810.5961124
2017,362564,611.5459883
2018,362564,934.1429239
1990,362589,652.9290397
1991,362589,708.6268229
1992,362589,744.9233474
1993,362589,783.3798139
1994,362589,1082.743238
1995,362589,822.2061435
1996,362589,698.6069777
1997,362589,703.4228556
1998,362589,864.2146018
1999,362589,1131.7082
2000,362589,1164.334117
2001,362589,1054.696564
2002,362589,992.2406779
2003,362589,820.0350975
2004,362589,725.6894049
2005,362589,578.1081987
2006,362589,951.7645715
2007,362589,838.7291576
2008,362589,999.7200784
2009,362589,852.7766407
2010,362589,736.8762343
2013,363216,861.370958
2014,363216,1081.899816
2015,363216,773.1679785
2016,363216,807.6370156
2017,363216,632.9434402
2018,363216,937.1719898
1990,363217,646.9477007
1991,363217,712.6974172
1992,363217,741.6747015
1993,363217,782.6318343
1994,363217,1083.259311
1995,363217,815.474443
1996,363217,691.7830015
1997,363217,696.6699178
1998,363217,861.4006374
1999,363217,1137.242415
2000,363217,1163.954652
2001,363217,1054.096218
2002,363217,987.2447972
2003,363217,812.3872813
2004,363217,719.3623572
2005,363217,570.4831993
2006,363217,944.9830848
2007,363217,833.6668001
2008,363217,998.8612981
2009,363217,846.2957634
2010,363217,732.3968419
2009,362436,849.0550018
2010,362436,728.756741
2011,362436,743.1960403
2012,362436,872.8288383
2013,362436,881.15043
2014,362436,1070.11386
2015,362436,776.7834949
2016,362436,808.9698578
2017,362436,612.392372
2018,362436,933.5324869
1990,362454,644.006234
1991,362454,721.5736077
1992,362454,703.3338022
1993,362454,781.95865
1994,362454,1090.774232
1995,362454,830.2613663
1996,362454,691.3812414
1997,362454,695.6424954
1998,362454,863.31929
1999,362454,1172.223004
2000,362454,1181.64201
2001,362454,1067.463706
2002,362454,1008.61356
2003,362454,833.0001333
2004,362454,733.4604665
2005,362454,578.3623093
2006,362454,958.8279287
2013,361781,874.9825003
2014,361781,1070.068056
2015,361781,766.1191468
2016,361781,789.7397018
2017,361781,642.4505634
2018,361781,933.0273004
1990,363390,646.2703737
1991,363390,708.7071764
1992,363390,751.5858461
1993,363390,783.5025699
1994,363390,1080.216908
1995,363390,812.836311
1996,363390,693.8758517
1997,363390,700.3585836
1998,363390,860.659265
1999,363390,1127.166979
2000,363390,1159.447176
2001,363390,1048.96572
2002,363390,981.2964889
2003,363390,805.6978955
2004,363390,715.1336585
2005,363390,564.7165123
2006,363390,942.6847662
2007,363390,827.0477703
2008,363390,997.3072704
2009,363390,844.4376889
2010,363390,732.2252325
2013,362069,869.2779777
2014,362069,1078.376396
2015,362069,770.7129094
2016,362069,799.8208401
2017,362069,637.1455878
2018,362069,936.487423
1990,362070,637.7225652
1991,362070,692.5399596
1992,362070,726.8498328
1993,362070,770.6891502
1994,362070,1074.575543
1995,362070,818.6789796
1996,362070,687.9755631
1997,362070,690.865378
1998,362070,855.4905383
1999,362070,1118.518187
2000,362070,1149.901109
2001,362070,1045.718827
2002,362070,988.611199
2003,362070,811.2668744
2004,362070,722.8880825
2005,362070,567.7624482
2006,362070,941.6195857
2007,362070,840.2514032
2008,362070,996.2540846
2009,362070,850.4558443
2010,362070,728.3215102
2011,363217,741.026173
2012,363217,871.4445064
2013,363217,865.7858738
2014,363217,1085.210748
2015,363217,770.1786815
2016,363217,803.2257546
2017,363217,639.2635684
2018,363217,935.0688211
1990,363242,645.694509
1991,363242,701.1442674
1992,363242,756.280913
1993,363242,782.6685868
1994,363242,1076.125089
1995,363242,813.2593809
1996,363242,697.3111681
1997,363242,704.9899186
1998,363242,857.9272478
1999,363242,1119.219233
2000,363242,1151.834873
2001,363242,1043.42745
2002,363242,974.2031019
2003,363242,800.307318
2004,363242,715.4304029
2005,363242,561.0035231
2006,363242,942.5959091
2007,363242,823.3027614
2008,363242,995.1238929
2007,362200,844.0955516
2008,362200,998.3228177
2009,362200,851.1507558
2010,362200,730.5348977
2011,362200,743.0303751
2012,362200,870.7918982
2013,362200,867.3026886
2014,362200,1080.123566
2015,362200,773.5268182
2016,362200,805.3215649
2017,362200,633.039603
2018,362200,937.839967
1990,362212,644.6206408
1991,362212,717.6484097
1992,362212,695.9426543
1993,362212,780.457348
1994,362212,1089.158516
1995,362212,831.4901967
1996,362212,692.0319442
1997,362212,695.7392926
1998,362212,862.6043751
1999,362212,1168.797775
2000,362212,1177.828555
2001,362212,1066.689423
2002,362212,1007.942588
2003,362212,831.3657677
2004,362212,733.6541848
2011,362779,744.4907683
2012,362779,876.6393155
2013,362779,873.8967054
2014,362779,1072.662133
2015,362779,778.2827968
2016,362779,810.5961124
2017,362779,611.5459883
2018,362779,934.1429239
1990,362796,643.8984186
1991,362796,722.2511123
1992,362796,704.6123927
1993,362796,782.2277847
1994,362796,1091.059856
1995,362796,830.0546176
1996,362796,691.2760957
1997,362796,695.6231392
1998,362796,863.4534685
1999,362796,1172.827923
2000,362796,1182.284647
2001,362796,1067.600461
2002,362796,1008.735651
2003,362796,833.2777815
2004,362796,733.42819
2005,362796,578.2619758
2006,362796,958.7176193
2007,362796,851.9338899
2008,362796,1002.747528
2007,362454,851.9774396
2008,362454,1002.385678
2009,362454,848.5362749
2010,362454,729.8737318
2011,362454,744.2580492
2012,362454,875.9789064
2013,362454,874.8753303
2014,362454,1072.225081
2015,362454,778.101122
2016,362454,810.3727715
2017,362454,611.6731708
2018,362454,934.0905694
1990,362484,641.3874493
1991,362484,699.555083
1992,362484,729.0011227
1993,362484,774.9535028
1994,362484,1077.214754
1995,362484,818.3439991
1996,362484,690.0835001
1997,362484,692.9142588
1998,362484,856.9274011
1999,362484,1125.923257
2000,362484,1156.069364
